"RefDes","Value","Name","Part","Quantity"
"AtmelPWR","","PPTC022LFBN-RC","Part 1","1"
"AtmelX1, AtmelX2","","PPTC102LFBN-RC","Part 1","2"
"C1, C2, C3, C4, C5, C6, C7, C12, C15","1uF","CAP_0603","Part 1","9"
"C8, C9","0,1uF","CAP_0603","Part 1","2"
"C10","100uF","EEE--CASE-E","Part 1","1"
"C11","0,01uF","CAP_0603","Part 1","1"
"C13, C14","10uF","CAP_1206","Part 1","2"
"DMS","","PINHD-1X4","Part 1","1"
"Fault, Stall","","LED","Part 1","2"
"Fuse","","Fuse","Part 1","1"
"INA128UA","","INA128UA","Part 1","1"
"J2, J3","","HDR-1x19","Part 1","2"
"LinearSpannungsregler","","LM1086IS-5.0","Part 1","1"
"R3, R4","50mOhm","PowerResistor","Part 1","2"
"R5, R6","220Ohm","RES_0603","Part 1","2"
"R7","3k3hm","RES_0603","Part 1","1"
"R9, U1","","POT","Part 1","2"
"RS232Shfiter1","","MAX232D","Part 1","1"
"T1, T2, T3, T4, T5, T6, T7, T8","","IRF520","Part 1","8"
"U2","","DRV8711","Part 1","1"
"U3","","F09HP","Part 1","1"
"U4","","MeassurePad","Part 1","1"
"U5","","MSTB 2-5-5,08x2","MSTB 2-5-5,08x2","1"
"U6","","MSTB 2-5-5,08x4","MSTB 2-5-5,08x4","1"
